Date,SPY,TLT,GLD
2000-01-03,100.0,90.0,60.0
2000-01-04,100.35632997516231,88.85719006369669,61.23896190248034
2000-01-05,101.27276698825513,89.20546505595705,61.804039664621385
2000-01-06,101.92555697861219,89.63433482048163,61.185453892813705
2000-01-07,100.84277358168467,89.47014301798998,60.85436165997491
2000-01-10,102.09542986481902,89.68781982935722,61.36165383387381
2000-01-11,102.9358322085222,90.6648357900061,61.34835500968895
2000-01-12,103.78725826469913,91.28148776526024,62.05179676394124
2000-01-13,104.69290521576673,91.69926072017047,60.925310755030196
2000-01-14,106.03296376959206,92.10745645240841,62.1537862739077
2000-01-17,108.75914487233433,91.61736041300279,63.27316503449358
2000-01-18,108.03525460823448,92.18463515610159,62.4198767455043
2000-01-19,108.12309831963266,91.23833295483999,62.25769593703804
2000-01-20,110.30382545575146,91.05832573065516,61.91495312439282
2000-01-21,108.66101676885854,90.81832834161129,61.71136110624202
2000-01-24,109.0923407262234,89.84025156847028,62.304295940396415
2000-01-25,108.27021182968383,89.78850160388438,62.03033140548188
2000-01-26,108.2759522707059,90.72875255985193,61.521542687447244
2000-01-27,108.88889957702524,90.5451581011,61.973827008638686
2000-01-28,106.53484634452867,89.86714342735483,62.809604783470455
2000-01-31,105.36553392273112,89.82629549518666,62.59170235838109
2000-02-01,103.71563964736839,90.32018428888281,62.81720988528435
2000-02-02,103.47267549523694,90.4408707820805,62.00500916474227
2000-02-03,102.69321438358902,90.45011882994032,62.64968076011802
2000-02-04,104.48597732340374,89.6579369543549,64.07735104181417
2000-02-07,103.80038791329883,89.95158015883817,64.5056595011407
2000-02-08,105.84620360618075,90.2375241657332,64.52903665105433
2000-02-09,105.38803190120045,91.01070007516925,63.32177502444386
2000-02-10,105.74163746359237,91.87522905837422,63.189228084104016
2000-02-11,105.81877843970916,92.284690555992,61.99431491976828
2000-02-14,105.8619930542875,91.34087599377936,62.52008359198296
2000-02-15,104.53837732059979,90.52583391074813,63.66047591839594
2000-02-16,104.96416904959082,89.91047853327484,64.58203701328124
2000-02-17,105.45022649948383,90.08822257834994,64.74813226048363
2000-02-18,105.76389653077675,89.65218326758854,65.11947274452632
2000-02-21,106.53850325593758,90.40242496578281,64.75325322849402
2000-02-22,105.57842156611628,90.5520582795033,64.95786442663393
2000-02-23,105.25150291951468,90.77091049095911,65.16260732676865
